R,G,B,H_HSV,S_HSV,V,H_HSL,S_HSL,L,Image
153.16859364814815,152.3707086111111,155.9133013888889,94.14413425,16.139581212962963,158.86255585185185,94.11542383333334,154.51816939814816,14.011423787037037,IMG_20240903_103124_511.jpg
134.1790707515712,128.96393966562187,126.829184310412,49.111678300429,42.275806294366326,138.36531026339867,49.069852920397935,130.60929541821702,32.77328843480129,20240903_115909.jpg
130.34660091867715,124.00807798732144,119.29701959781403,33.41059325372551,38.83051987142576,130.98966887162922,33.386574578145904,124.9895299463548,29.183068686849882,20240903_115917.jpg
130.49562657584397,123.02150746514526,118.81337967999063,46.2047796569514,42.49914309328199,132.4552342912625,46.165743836588305,124.73652323023413,32.37819135416861,20240903_120200.jpg
140.72861211531455,135.4129787540327,131.84390072748138,55.19403977327129,53.49767928716,146.11061838743953,55.18563259164497,136.4619091873366,44.761626566036504,20240903_120108.jpg
126.92856621452805,125.59171583352303,118.72251339005051,57.78971675961455,40.05108255154136,131.6658202616903,57.75035820840921,123.97137542205927,29.29350089696063,IMG_20240903_104507_068.jpg
130.96984673255068,125.28729769604297,121.00957649359422,35.41144868516765,42.37127721406078,133.79371693304194,35.37715230282668,126.21132504042671,32.905780301252165,20240903_115927.jpg
132.88176069063854,128.12568826814083,125.6459704023921,49.236771055802166,39.76677004264088,137.10253607818314,49.19147938004835,129.3876109906141,31.409583853350764,20240903_115857.jpg
139.96344322490154,134.3204938342611,130.00199359638844,46.43136222901468,49.14061668858663,144.60022991031653,46.4270764487126,135.16995576998264,38.531557522294534,20240903_115827.jpg
127.59663878568874,126.84122628203043,126.47191222657605,83.26708137546609,19.515280594893557,131.06600722446237,83.22716154640348,127.21030737499458,14.03012719023695,IMG_20240903_104430_542.jpg
137.42872940182426,132.4888494493855,128.09589696274358,43.44802495053047,44.58125788337558,141.26886015531704,43.427835509316765,132.92445130957952,36.7559870227254,20240903_115847.jpg
135.15124210332615,130.19702552385175,124.9900976782233,51.01909212686408,53.321530018165426,139.86845719306282,51.00806460594592,130.35513366498088,43.08272173105463,20240903_120120.jpg
133.34494023595104,128.39912107219226,126.03825419427164,47.75107907079728,41.31837974315738,137.59439157877625,47.72676128822918,129.88352601405893,29.820487538365484,20240903_120043.jpg
133.41087858454637,127.83609996735277,125.53616460105881,49.948198846076615,42.14758996440055,137.8514271278548,49.90365280799438,129.60249304584045,32.83456624146584,20240903_115903.jpg
130.9029118870499,124.37510867172976,119.33923187413727,42.750940394865275,46.126464013907324,133.8898459504467,42.716112913210225,125.38855225817777,34.74908019666134,20240903_115820.jpg
133.30604913807318,126.19524864756681,120.97671944026288,39.92336750127663,60.34701825552077,139.55795164137115,39.908587917465674,127.32339811221206,46.40229139848506,20240903_120206.jpg
143.6036628148148,142.80356912962964,146.25302285185185,98.34423498148148,15.095518694444445,148.5693475925926,98.33112837037037,144.84792212037038,12.413902027777779,IMG_20240903_103111_878.jpg
148.72641471296296,148.02043919444444,151.16174631481482,82.28963574074074,21.31596548148148,155.54213710185186,82.23143503703703,149.9897843611111,22.548241453703703,IMG_20240903_103040_309.jpg
